ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2023,5,Airedale NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.962694662,53.89801502,1816,5,2.75,5,Over 5% higher,2.39,4,Within 5%,1.50 to 3.52,1811,3,1.66,5,Over 5% higher,0.72,5,Over 5% higher,0.42 to 1.36,8,4.41,5,Over 5% higher,3.11,4,Within 5%,2.23 to 4.56,5,"Under 2,000 births",2.39,0.68,3.06
2023,7,Aneurin Bevan University Health Board,Wales,,,,Wales,-2.998152313,51.57979804,5266,15,2.85,3,5 to 15% lower,3.29,4,Within 5%,2.32 to 4.37,5251,6,1.14,2,Over 15% lower,1.35,4,Within 5%,0.94 to 2.05,21,3.99,3,5 to 15% lower,4.63,4,Within 5%,3.59 to 6.03,2,Level 3 NICU,3.33,1.35,4.67
2023,8,Ashford and St Peter's Hospital NHS Foundation Trust,England,,,,"Kent, Surrey and Sussex",-0.472709324,51.44410155,2971,8,2.69,2,Over 15% lower,3.29,4,Within 5%,2.34 to 4.27,2963,6,2.02,5,Over 5% higher,1.42,5,Over 5% higher,0.96 to 2.24,14,4.71,4,Within 5%,4.73,4,Within 5%,3.78 to 6.16,2,Level 3 NICU,3.33,1.35,4.67
2023,10,"Barking, Havering and Redbridge University Hospitals NHS Trust",England,,,,London,0.112106859,51.58054479,6963,26,3.73,5,Over 5% higher,2.9,4,Within 5%,2.30 to 3.96,6937,10,1.44,5,Over 5% higher,0.95,5,Over 5% higher,0.59 to 1.60,36,5.17,5,Over 5% higher,3.82,5,Over 5% higher,3.21 to 5.20,3,"4,000 or more births",2.81,0.79,3.6
2023,13,Barnsley Hospital NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.499578108,53.55831397,2913,-1,-1,0,Suppressed due to small numbers,2.61,4,Within 5%,1.81 to 3.66,2908,-1,-1,0,Suppressed due to small numbers,0.67,4,Within 5%,0.42 to 1.10,7,2.4,2,Over 15% lower,3.28,4,Within 5%,2.53 to 4.55,4,"2,000-3,999 births",2.71,0.69,3.39
2023,14,Barts Health NHS Trust,England,,,,London,0.002638361,51.57883109,13929,50,3.59,5,Over 5% higher,2.96,4,Within 5%,2.37 to 3.74,13879,20,1.44,4,Within 5%,1.57,5,Over 5% higher,1.10 to 2.32,70,5.03,5,Over 5% higher,4.49,4,Within 5%,3.81 to 5.69,1,Level 3 NICU & neonatal surgery,3.06,1.43,4.49
2023,118,Bedfordshire Hospitals NHS Foundation Trust,England,,,,East of England,-0.474268944,51.89417721,8104,36,4.44,5,Over 5% higher,3.61,5,Over 5% higher,2.76 to 4.95,8068,10,1.24,3,5 to 15% lower,1.37,4,Within 5%,0.97 to 2.05,46,5.68,5,Over 5% higher,4.98,5,Over 5% higher,4.12 to 6.65,2,Level 3 NICU,3.33,1.35,4.67
2023,17,Belfast Health and Social Care Trust,Northern Ireland,,,,Northern Ireland,-5.952873891,54.59439114,4732,14,2.96,4,Within 5%,3.09,4,Within 5%,2.39 to 4.27,4718,12,2.54,5,Over 5% higher,1.56,5,Over 5% higher,1.10 to 2.21,26,5.49,5,Over 5% higher,4.68,4,Within 5%,3.90 to 6.16,1,Level 3 NICU & neonatal surgery,3.06,1.43,4.49
2023,20,Betsi Cadwaladr University Health Board,Wales,,,,Wales,-4.159825146,53.20901957,5778,14,2.42,3,5 to 15% lower,3.08,5,Over 5% higher,2.35 to 5.30,5764,3,0.52,2,Over 15% lower,0.72,3,5 to 15% lower,0.46 to 1.10,17,2.94,2,Over 15% lower,3.66,4,Within 5%,3.02 to 5.43,3,"4,000 or more births",2.81,0.79,3.6
2023,22,Birmingham Women's and Children's NHS Foundation Trust,England,,,,West Midlands,-1.942243239,52.45318512,6907,24,3.47,5,Over 5% higher,2.99,4,Within 5%,2.32 to 3.94,6883,13,1.89,5,Over 5% higher,1.4,4,Within 5%,0.99 to 1.99,37,5.36,5,Over 5% higher,4.39,4,Within 5%,3.69 to 5.67,1,Level 3 NICU & neonatal surgery,3.06,1.43,4.49
2023,26,Blackpool Teaching Hospitals NHS Foundation Trust,England,,,,North West,-3.016264483,53.8206695,2406,5,2.08,2,Over 15% lower,2.64,4,Within 5%,1.84 to 3.54,2401,3,1.25,5,Over 5% higher,0.7,4,Within 5%,0.45 to 1.08,8,3.33,4,Within 5%,3.35,4,Within 5%,2.64 to 4.37,4,"2,000-3,999 births",2.71,0.69,3.39
2023,27,Bolton NHS Foundation Trust,England,,,,North West,-2.43018498,53.55441453,5133,-1,-1,0,Suppressed due to small numbers,3.42,4,Within 5%,2.49 to 4.55,5112,-1,-1,0,Suppressed due to small numbers,1.15,3,5 to 15% lower,0.73 to 1.72,23,4.48,4,Within 5%,4.57,4,Within 5%,3.72 to 5.92,2,Level 3 NICU,3.33,1.35,4.67
2023,29,Bradford Teaching Hospitals NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.794879358,53.80588187,5223,24,4.6,5,Over 5% higher,3.42,4,Within 5%,2.53 to 4.50,5199,11,2.12,5,Over 5% higher,1.42,5,Over 5% higher,0.99 to 2.08,35,6.7,5,Over 5% higher,4.84,4,Within 5%,3.95 to 6.16,2,Level 3 NICU,3.33,1.35,4.67
2023,32,Buckinghamshire Healthcare NHS Trust,England,,,,Thames Valley and Wessex,-0.802757325,51.79830765,4489,10,2.23,2,Over 15% lower,2.71,4,Within 5%,1.98 to 3.64,4479,4,0.89,5,Over 5% higher,0.83,4,Within 5%,0.55 to 1.38,14,3.12,3,5 to 15% lower,3.52,4,Within 5%,2.84 to 4.76,3,"4,000 or more births",2.81,0.79,3.6
2023,34,Calderdale and Huddersfield NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.857279743,53.70530631,4272,9,2.11,2,Over 15% lower,2.64,3,5 to 15% lower,1.94 to 3.50,4263,8,1.88,5,Over 5% higher,0.93,5,Over 5% higher,0.62 to 1.55,17,3.98,5,Over 5% higher,3.57,4,Within 5%,2.82 to 4.82,3,"4,000 or more births",2.81,0.79,3.6
2023,36,Cambridge University Hospitals NHS Foundation Trust,England,,,,East of England,0.13911444,52.1737407,5452,18,3.3,5,Over 5% higher,3.24,5,Over 5% higher,2.53 to 4.50,5434,6,1.1,2,Over 15% lower,1.31,3,5 to 15% lower,0.88 to 1.95,24,4.4,4,Within 5%,4.49,4,Within 5%,3.85 to 6.16,1,Level 3 NICU & neonatal surgery,3.06,1.43,4.49
2023,40,Cardiff and Vale University Health Board,Wales,,,,Wales,-3.189360354,51.50676434,4838,14,2.89,3,5 to 15% lower,3.05,4,Within 5%,2.37 to 4.16,4824,8,1.66,5,Over 5% higher,1.59,5,Over 5% higher,1.07 to 2.43,22,4.55,4,Within 5%,4.61,4,Within 5%,3.82 to 6.08,1,Level 3 NICU & neonatal surgery,3.06,1.43,4.49
2023,44,Chelsea and Westminster Hospital NHS Foundation Trust,England,,,,London,-0.181458758,51.48426049,10175,29,2.85,3,5 to 15% lower,2.97,4,Within 5%,2.29 to 3.87,10146,13,1.28,3,5 to 15% lower,1.49,4,Within 5%,1.04 to 2.14,42,4.13,3,5 to 15% lower,4.45,4,Within 5%,3.78 to 5.84,1,Level 3 NICU & neonatal surgery,3.06,1.43,4.49
2023,46,Chesterfield Royal Hospital NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.400081229,53.23622277,2750,-1,-1,0,Suppressed due to small numbers,2.66,4,Within 5%,1.88 to 3.68,2744,-1,-1,0,Suppressed due to small numbers,0.7,4,Within 5%,0.46 to 1.07,8,2.91,3,5 to 15% lower,3.36,4,Within 5%,2.62 to 4.50,4,"2,000-3,999 births",2.71,0.69,3.39
2023,50,Countess of Chester Hospital NHS Foundation Trust,England,,,,North West,-2.899024442,53.21176712,1996,-1,-1,0,Suppressed due to small numbers,2.37,4,Within 5%,1.55 to 3.69,1991,-1,-1,0,Suppressed due to small numbers,0.66,4,Within 5%,0.32 to 1.13,6,3.01,4,Within 5%,3.03,4,Within 5%,2.14 to 4.43,5,"Under 2,000 births",2.39,0.68,3.06
2023,51,County Durham and Darlington NHS Foundation Trust,England,,,,Northern,-1.592928212,54.78889855,4057,14,3.45,5,Over 5% higher,2.94,4,Within 5%,2.24 to 4.12,4043,4,0.99,5,Over 5% higher,0.84,5,Over 5% higher,0.55 to 1.37,18,4.44,5,Over 5% higher,3.77,4,Within 5%,3.16 to 5.32,3,"4,000 or more births",2.81,0.79,3.6
2023,53,Croydon Health Services NHS Trust,England,,,,London,-0.108783178,51.38912869,3096,-1,-1,0,Suppressed due to small numbers,2.83,4,Within 5%,2.22 to 4.15,3082,-1,-1,0,Suppressed due to small numbers,0.63,3,5 to 15% lower,0.39 to 0.95,15,4.84,5,Over 5% higher,3.44,4,Within 5%,2.83 to 4.83,4,"2,000-3,999 births",2.71,0.69,3.39
2023,55,Cwm Taf Morgannwg University Health Board,Wales,,,,Wales,-3.385504526,51.76395402,4602,14,3.04,5,Over 5% higher,3.07,5,Over 5% higher,2.30 to 5.36,4588,8,1.74,5,Over 5% higher,0.94,5,Over 5% higher,0.60 to 1.70,22,4.78,5,Over 5% higher,4.04,5,Over 5% higher,3.26 to 6.41,3,"4,000 or more births",2.81,0.79,3.6
2023,56,Dartford and Gravesham NHS Trust,England,,,,"Kent, Surrey and Sussex",0.166643343,51.47711269,4521,10,2.21,2,Over 15% lower,2.67,3,5 to 15% lower,1.93 to 3.47,4511,3,0.67,2,Over 15% lower,0.77,4,Within 5%,0.52 to 1.24,13,2.88,2,Over 15% lower,3.43,4,Within 5%,2.70 to 4.58,3,"4,000 or more births",2.81,0.79,3.6
